DockQ,irms,Lrms,fnat,classification,model,zrank2_score,zrank_score,rosetta_score,HDX_score
0.0154713355984934,19.982920238435803,41.20810413732971,0.0,0,MODEL_941_NATIVE,-51.6239,-39.1582,2752.529,0.03484443667096993
0.016797447334508,19.294053461682942,39.44072174900074,0.0,0,MODEL_609_NATIVE,-50.2444,-39.1892,2687.819,0.034863314145485255
0.0137395557762109,21.87075800413162,43.64867678432176,0.0,0,MODEL_212_NATIVE,-63.998,-41.0773,2678.475,0.034867415240515974
0.0138556576370622,21.57508456475416,43.51305659999716,0.0,0,MODEL_740_NATIVE,-60.9099,-44.9353,2731.773,0.03486915706843099
0.0148763814096746,20.966736589017547,41.894555731336204,0.0,0,MODEL_920_NATIVE,-60.0216,-43.177,2683.314,0.03487453525567746
0.0155063879103849,20.13854911607286,41.10794669221512,0.0,0,MODEL_323_NATIVE,-50.9191,-42.1111,2709.16,0.034877736623391234
0.0125631156052582,22.82054955933127,45.73549492488748,0.0,0,MODEL_982_NATIVE,-85.0373,-61.3215,2697.221,0.03489445273662068
0.0508719390469706,12.715946216443273,21.16457824352593,0.0,0,MODEL_325_REVISED,19.9597,-41.6133,3097.65,0.03490436023469219
0.0158971334934432,20.312189247549284,40.4610778835935,0.0,0,MODEL_373_NATIVE,-8.18126,-35.2231,2658.082,0.03490701880756058
0.0151185185142547,20.230054023539296,41.70227531067433,0.0,0,MODEL_257_NATIVE,-43.5037,-34.3485,2679.998,0.034908199098245524
0.0146596469343453,20.633471190066228,42.35119253519441,0.0,0,MODEL_457_NATIVE,-45.5163,-32.5973,2647.393,0.03491899788834416
0.0174666508839481,18.783839395229247,38.68126692106307,0.0,0,MODEL_341_NATIVE,-36.7195,-28.6302,2810.66,0.03492127357781203
0.0166498711378815,19.39830799706372,39.61791674133153,0.0,0,MODEL_942_NATIVE,-54.9175,-44.6347,2758.297,0.03492348182498474
0.0168577335894471,19.1089316298584,39.41071549646757,0.0,0,MODEL_217_NATIVE,-51.6893,-37.8705,2796.77,0.03492453044079211
0.0148153498000658,20.478671944846443,42.132221619061255,0.0,0,MODEL_529_NATIVE,-20.0553,-31.6337,2680.736,0.03493578672664115
0.0142507932300567,21.16388484073101,42.912079257531865,0.0,0,MODEL_75_NATIVE,-56.5962,-35.726,2739.53,0.034954494182397385
0.0130623096163987,21.945719446885928,44.94126570498077,0.0,0,MODEL_82_NATIVE,-64.8947,-37.2305,2684.294,0.03496896308262741
